MAKE, MODEL, VARIANT,Modell_ID
Audi, S8, D4 4.0 TFSI quattro Tiptronic,
Audi, S8, D5 4.0 TFSI V8 Saloon / Sedan (Non OPF/GPF US/ROW Models),
Audi, S8, D5 4.0 TFSI V8 Saloon / Sedan (OPF/GPF UK/Euro Models),
Audi, SQ5, 3.0 TFSI Supercharged,
Audi, SQ5, 3.0 V6 Bi-TDI (Diesel),
Audi, SQ5, 3.0TFSI V6 Turbo,
Audi, SQ7, 4.0 V8 TDI,
Audi, SQ8, 4.0 V8 Bi-Turbo (Non OPF / GPF Equipped Models),
Audi, SQ8, 4.0 V8 Bi-Turbo (OPF / GPF Equipped Models),
Audi, TT, 150 / 180 2WD Coupe & Roadster,"115103, 11343, 11342, 15656"
Audi, TT, 180 / 225 quattro Coupe & Roadster,"115103, 11343, 11342"
Audi, TT Mk2, 2.0 TFSi 2WD,
Audi, TT Mk2, 3.2 quattro,
Audi, TT Mk2, TT RS Coupé 2.5-litre TFSI quattro,
Audi, TT Mk2, TT RS Roadster 2.5-litre TFSI quattro,
Audi, TT Mk2, TTS quattro,
Audi, TT Mk3, TTRS 2.5TFSI Quattro (Non-OPF/GPF Models),
Audi, TT Mk3, TTRS 2.5TFSI Quattro (OPF/GPF Models),
Audi, TT Mk3, TTS 2.0TFSI Quattro (Non-OPF/GPF Models),
Audi, TT Mk3, TTS 2.0TFSI Quattro (OPF/GPF Models),
Bentley, Bentayga, V8 Diesel,
BMW, 1 Series, 114i 118i & 120i (F20 & F21 - N13 Engine Only),"120226, 110044, 110043, 115122, 58336, 58355, 120240, 115121, 110062, 11061, 10312, 55488, "
BMW, 1 Series, 116i (F20 and F21 - N13 Engine Only),"58344, 110042, 110060, 10311"
BMW, 1 Series, 118d & 120d M Sport 3-door (E81),"124739, 22956, 17931, 22955, 32172"
BMW, 1 Series, 118d & 120d M Sport 5-door Hatchback (E87),"58303, 58283, 58256, 58254, 124781, 58253"
BMW, 1 Series, 118d & 120d M Sport Coupé (E82),"122022, 23430, 32177, 32676, 12272"
BMW, 1 Series, 123d M Sport 3-door (E81),23432
BMW, 1 Series, 123d M Sport 5-door Hatchback (E87),58304
BMW, 1 Series, 123d M Sport Coupé (E82),23431
BMW, 1 Series, 125i (F20 & F21 - B48 Engine Only),"120242, 100889, 8282, 100892, 120229, 58356, "
BMW, 1 Series, 135i Coupé E82 and Cabriolet E88 (N54),"123155, 23429, 55640, 25444"
BMW, 1 Series, 135i Coupé E82 and Cabriolet E88 (N55),"123155, 23429, 55640, 25444"
BMW, 1 Series, M Coupé (1M E82),9877
BMW, 1 Series, M135i 3 & 5 Door (F21 & F20 None xDrive),"110046, 58358, 110066, 56734"
BMW, 1 Series, M135i xDrive 5 Door (F40 OPF/GPF Equipped),136291
BMW, 1 Series, M140i 3 & 5 Door (F20 & F21 LCI Non-OPF & None xDrive),"120235, 120244"
BMW, 1 Series, M140i 3 & 5 Door (F20 & F21 LCI OPF Only & None xDrive),"120235, 120244"
BMW, 2 Series, M2 Competition Coupé (F87),130898
BMW, 2 Series, M2 Coupé (F87),117272
BMW, 2 Series, M235i Coupé (F22) (None xDrive),
BMW, 2 Series, M240i Coupe (F22 LCI Non-OPF & None xDrive),
BMW, 2 Series, M240i Coupe (F22 LCI OPF Only & None xDrive),
BMW, 3 Series, E30 M3,
BMW, 3 Series, E46 M3 3.2 Coupe - Cabriolet,"5113, 15635, 5114"
BMW, 3 Series, E46 M3 CSL,"17440, 14776, "
BMW, 3 Series, E90 M3 4.0 V8 Saloon / Sedan,26589
BMW, 3 Series, E92 335i Coupé,"22939, 123171, 19567"
BMW, 3 Series, E92 M3 4.0 V8 Coupé,22939
BMW, 3 Series, E93 M3 4.0 V8 Convertible,26590
BMW, 3 Series, F30 & F31 M340i Saloon & Touring (LCI models xDrive & non xDrive Models),"117293, 113446, 117345, 113409"
BMW, 3 Series, F30 320i L M Sport Saloon (Long wheelbase) (LCI models None xDrive Non-OPF & B48 Engine),27670
BMW, 3 Series, F30 320i M Sport Saloon (LCI models None xDrive Non-OPF & B48 Engine),27670
BMW, 3 Series, F30 328i M Sport Automatic (without Tow Bar None xDrive & N20 Engine Only),12470
BMW, 3 Series, F31 M340i Touring,113446
BMW, 3 Series, F80 M3 & M3 Competition Saloon (Non OPF/GPF Models Only),"118192, 100819"
BMW, 3 Series, F80 M3 M3 Competition & M3 CS Saloon (OPF/GPF Models Only),"129115, 100819"
BMW, 3 Series, G20 & G21 M340i XDrive Saloon & Touring Models (OPF/GPF Models Only),"136491, 134016"
BMW, 3 Series, G80 M3 & M3 Competition S58 3.0 Turbo (OPF/GPF Equipped Cars Only),"141794, 141793, "
BMW, 4 Series, F32 & F33 M440i Coupe & Grand Coupe (xDrive & non xDrive Models),"119036, 118181"
BMW, 4 Series, F32 428i Coupé (Automatic Gearbox without Tow Bar None xDrive & N20 Engine Only),59805
BMW, 4 Series, F32 428i Coupé (Manual Gearbox without Tow Bar None xDrive & N20 Engine Only),59805
BMW, 4 Series, F82/83 M4 Coupe/Convertible & M4 Competition Coupé (Non-OPF equipped models only),"118193, 105899"
BMW, 4 Series, F82/83 M4 Coupe/Convertible M4 Competition & M4 CS Coupé (OPF/GPF equipped models only),"118193, 105899"
BMW, 4 Series, G82 M4 & M4 Competition S58 3.0 Turbo (OPF/GPF Equipped Cars Only),
BMW, 5 Series, M5 & M5 Competition 4.4l Twin Turbo F90 (OPF/GPF Equipped Cars),
BMW, 5 Series, M5 Saloon M TwinPower Turbo V8 (F10),"12689, 100907"
BMW, 8 Series, M8 & M8 Competition 4.4l V8 Twin Turbo F91 & F92 Coupe & Cabrio (OPF/GPF Equipped Cars Only) ,136371
BMW, i8, 1.5T Hybrid,100906
Citroen, DS3, 1.6 THP 16V DSport,109261
Ford, F150 Raptor, 3.5 V6 EcoBoost Supercab,
Ford, F150 Raptor, 3.5 V6 EcoBoost Supercrew,
Ford, Fiesta, Mk6 ST 150,18499
Ford, Fiesta, Mk6 Zetec-S 1.6 16v,16361
Ford, Fiesta, MK7 1.6-litre Duratec Ti-VCT AND Zetec S,3900
Ford, Fiesta, Mk7 ST 1.6 EcoBoost (5 Door North American Vehicles),
Ford, Fiesta, Mk7/Mk7.5 1.0T EcoBoost (100/125/140PS) ,"131963, 127518, 126555, 58968, 58967"
Ford, Fiesta, Mk7/Mk7.5 ST 1.6 litre EcoBoost 182PS & ST200,107028
Ford, Fiesta, Mk8 1.0T EcoBoost ST-Line 3 & 5 Door (100ps & 125ps OPF/GPF Models Only),"58967, 58968, 126555, 131963"
Ford, Fiesta, Mk8 1.0T EcoBoost ST-Line 3 & 5 Door (100ps & 125ps OPF/GPF Models Only) - Maxton Dual Outlet Kits,"58967, 58968, 126555, 131963"
Ford, Fiesta, Mk8 1.0T EcoBoost ST-Line 3 & 5 Door (155ps Hybrid OPF/GPF Models Only,
Ford, Fiesta, Mk8 1.0T EcoBoost ST-Line 3 & 5 Door (155ps Hybrid OPF/GPF Models Only) - Maxton Designs Dual Outlet Kits,
Ford, Fiesta, Mk8 1.0T EcoBoost ST-Line 3 & 5 Door (Non-OPF/GPF Models Only),"131963, 136546, 143270, 127518, 126555, 126554, 139031, 131678, 58968, 58967"
Ford, Fiesta, MK8 1.0T EcoBoost ST-Line 3 & 5 Door (Non-OPF/GPF Models Only) - Dual Outlet Maxton Kits,"131963, 136546, 143270, 127518, 126555, 126554, 139031, 131678, 58968, 58967"
Ford, Fiesta, Mk8 ST 1.5 EcoBoost 200PS (Post Sept 2020 Models Only),
Ford, Fiesta, Mk8 ST 1.5 EcoBoost 200PS (Pre Sept 2020 Models Only),
Ford, Focus, MK2 RS 2.5T 305PS,17012
Ford, Focus, Mk2 ST 225,
Ford, Focus, Mk3 RS 2.3-litre EcoBoost 4wd 5-Door Hatchback,17012
Ford, Focus, Mk3 ST 2.0-litre EcoBoost 5-Door Hatchback,
Ford, Focus, Mk3 ST 2.0-litre EcoBoost Estate / Sedan / Limosine,
Ford, Focus, Mk3 ST 2.0-litre TDCi 5-Door Estate / Sedan / Limosine (Diesel),
Ford, Focus, Mk3 ST 2.0-litre TDCi 5-Door Hatchback (Diesel),
Ford, Focus, Mk4 ST 2.3-litre EcoBoost Estate/Wagon/Combi (OPF/GPF Equipped & Manual Only),
Ford, Focus, Mk4 ST 2.3-litre EcoBoost Hatch (OPF/GPF Equipped & Manual Only),
Ford, Mondeo, ST220 3.0 V6 Hatchback / Saloon only,"16634, 16633, 16632"
Ford, Mustang, 2.3 EcoBoost (Fastback),
Ford, Mustang, 5.0 V8 GT (Fastback - Facelift Model),
Ford, Mustang, 5.0 V8 GT (Fastback),
Ford, Puma, ST 1.5 EcoBoost (OPF/GPF Equipped),142178
Ford, Ranger, 2.0TDCI & 3.2TDCI Pick-up,12606
Ford, Ranger, Raptor Ranger 2.0 EcoBlue Diesel,"135616, 135810, 135808"
Honda, Civic, Type R 2.0 i-VTEC FN2,116064
Honda, Civic, Type R FK2 Turbocharged 2.0 litre i-VTEC (LHD models only),116064
Honda, Civic, Type R FK2 Turbocharged 2.0 litre i-VTEC (RHD models only),116064
Honda, Civic, Type R FK8 2.0 i-VTEC (Both OPF/GPF & Non OPF/GPF Models),116064
Honda, e (BEV), Standard & Advance Models,
Hyundai, i20, N 1.6 T-GDi 204PS (OPF/GPF Equipped Cars Only),30903
Hyundai, i30, N 2.0 T-GDi (250PS - Non-OPF models only),
Hyundai, i30, N 2.0 T-GDi (250PS - OPF/GPF models only),
Hyundai, i30, N Performance 2.0 T-GDi (275PS - Non-OPF models only),
Hyundai, i30, N Performance 2.0 T-GDi (275PS - OPF/GPF models only),
Hyundai, i30, N Performance 2.0 T-GDi Fastback (275PS - OPF/GPF models only),
Jaguar, I-PACE, All Variants,130530
Kia, Stinger, GT 3.3 V6 Turbo (Non-OPF/GPF Models only),"128259, 128235, 133132, 130082"
Lamborghini, Urus, 4.0 Twin Turbo V8 650PS,
Land Rover, Defender, 110 2.0 I4 P300 & 3.0 I6 P400 (OPF/GPF Equipped Vehicles Only),"137997, 137996"
Land Rover, Defender, 110 5.0 V8 525PS (OPF/GPF Equipped Vehicles Only),144966
Land Rover, Defender, 90 5.0 V8 525PS (OPF/GPF Equipped Vehicles Only),144966
Land Rover, Discovery, Mk5 Td4 Td6 Si4 & Si6,"unsicher, nochmal bitte nachschauen"
Marketing Products, Milltek Classic, POS & Branding,
Marketing Products, Milltek Sport, Branded Clothing,
Marketing Products, Milltek Sport, Limited Edition Milltek Sport BRM Watch,
Marketing Products, Milltek Sport, POS & Branding,
Marketing Products, Milltek Sport, Stickers,
McLaren, 720S, 4.0 V8 Twin Turbo,5837
Mercedes, A-Class, A35 AMG 2.0 Turbo (Saloon/Sedan Only - Non OPF/GPF Models),
Mercedes, A-Class, A35 AMG 2.0 Turbo (Saloon/Sedan Only - OPF/GPF Models),
Mercedes, A-Class, A35 AMG 2.0 Turbo (W177 Hatch Only OPF/GPF Models),"132864, 135945"
Mercedes, A-Class, A45 & A45S AMG 2.0 Turbo (W177 Hatch Only),"136671, 136670"
Mercedes, A-Class, A45 AMG 2.0 Turbo (W176),136670
Mercedes, C-Class, C63 & C63 S (W205) Saloon 4.0 Bi-Turbo V8 (Non-GPF Equipped Models Only),108005
Mercedes, C-Class, C63 AMG,"59089, 17279, 26572, 8903, 53232, 8902, 10336, 108004, 59084, 17943, 26571"
Mercedes, C-Class, C63S Coupe 4.0 Bi-Turbo V8 (GPF/OPF Equipped Models Only),"116943,"
Mercedes, C-Class, Coupé 63 AMG,116942
Mercedes, CLA-Class, CLA35 AMG 2.0 Turbo Coupe & Shooting Brake (Non-OPF/GPF Models),"136529, 135946"
Mercedes, CLA-Class, CLA35 AMG 2.0 Turbo Coupe & Shooting Brake (OPF/GPF Models),"136529, 135946"
Mercedes, CLA-Class, CLA45 & 45S AMG 2.0 Turbo Coupe (OPF/GPF Models),"136840, 136839, 115042, 109393, 115000, 26787, 136676, 136675"
Mercedes, CLA-Class, CLA45 AMG 2.0 Turbo,"136839, 115042, 109393, 115000, 26787, 136675"
Mercedes, G-Class, G63 (W463) 4.0 Bi-Turbo V8 (ROW Non GPF/OPF Cars Only),"130978, 114589, 55394, 109310"
Mercedes, G-Class, G63 (W463) 4.0 Bi-Turbo V8 (UK/European GPF/OPF Cars Only),"130978, 114589, 55394, 109310"
Milltek Innovation, Active Sound, Generic Kits,
Milltek Innovation, Pit Lane & Paddock, Equipment,
Milltek Innovation, Racing Simulators, Frames,
Milltek Innovation, Racing Simulators, Frames Accessories & Peripherals ,
Milltek Sport Products, Cleaning, Metal Polish,
Milltek Sport Products, Exhaust Silencers, Round (Weld In),
Milltek Sport Products, Fitting Kit Parts, Clamps,
Milltek Sport Products, Fitting Kit Parts, Gaskets,
Milltek Sport Products, Trims, Carbon Fibre,
Milltek Sport Products, ValveSonic +, BMW F Series Models,
Milltek Sport Products, Weld In Catalysts with Cones, 100CPSI Cats,
Milltek Sport Products, Weld In Catalysts with Cones, 200CPSI Cats,
New Mini, Mk1, (R50) Cooper 1.6i,
New Mini, Mk1, (R50) One 1.6i,
New Mini, Mk1, (R52) Cooper S Convertible,
New Mini, Mk1, (R53) Cooper S,
New Mini, Mk2, (R55) Cooper S Clubman 1.6i Turbo,
New Mini, Mk2, (R56) Cooper S 1.6i Turbo,
New Mini, Mk2, (R58) Cooper S Coupé,
New Mini, Mk3, (F55) Mini Cooper S 2.0 Turbo - 5 Door Hatch (UK and European models) - LCI with GPF/OPF Only,
New Mini, Mk3, (F56) Cooper 1.5T (Pre-LCI only),
New Mini, Mk3, (F56) Mini Cooper S 2.0 Turbo (Rest of World),
New Mini, Mk3, (F56) Mini Cooper S 2.0 Turbo (UK and European models & Pre-LCI Only),
New Mini, Mk3, (F56) Mini Cooper S 2.0 Turbo (UK and European models) - LCI with GPF/OPF Only,
New Mini, Mk3, Mini JCW GP3 2.0 Turbo (UK and European models) - GPF/OPF Only,
Nissan, 350Z, 3.5 V6,"23729, 19606, 18277, 25093, 17435, 19559"
Nissan, GT-R, R35,"107483, 121620, 55403, 681, 27551"
Peugeot,205, GTi 1.6 and 1.9 (non-cat models),"2315, 2326, 6672, 6671, 2319, 2330, 2310, 2329, 2327, 2309, 2314, 2313, 6668, 2312, 2308"
Peugeot,208, GTi 1.6,"108642, 58650"
Peugeot,308, GTI 270 (1.6T) Non-OPF/GPF Models,
Porsche,911, 991.1 GT3 & GT3 RS,144198
Porsche,911, 991.2 GT3 & GT3 RS,144198
Porsche,911, 992 3.0T Carrera S (2wd & 4wd Models) OPF/GPF Equipped Only ,"135166, 135162"
Porsche,911, 996 Carrera and Carrera S (C2 and C4),"17508, 16462, 16460, 17506"
Porsche,911, 996 Turbo (inc X50/GT2),"23174, 23184, 19452"
Porsche,911, 997.1 Carrera and Carrera S,"28241, 28240, 20896, 18061, 18060"
Porsche,911, 997.2 3.6 & 3.8 (C2 / C4 / S / GTS),"28241, 28240, 20896, 18061, 18060"
Porsche, Boxster, S 3.2 987 Gen1,18290
Porsche, Boxster, S 3.4 987 Gen2,"31364, 28247, 22542"
Porsche, Cayenne, 958 Turbo 4.8 V8 (Pre-Facelift),"32082, 32084, 20114, 111985, 56878"
Porsche, Cayman, 718 GT4 4.0 (OPF/GPF Equipped Cars Only),137060
Porsche, Cayman, 718 GTS 2.5T,128976
Porsche, Cayman, S 3.4 987 Gen1,"32077, 18917, 57365"
Porsche, Cayman, S 3.4 987 Gen2,"32077, 18917, 57365"
Range Rover, Sport, 3.0 TDV6 & 4.4 TDV8 Diesel (L494) (Pre-facelift Only),"58993, 58994"
Range Rover, Sport, 3.0TDV6 4.4TDV8 Diesel & 5.0 Super Charged,"58993, 58994, 129792, 129791, 108805, 58987"
Range Rover, Sport, 5.0 Supercharged (L494) (Pre-facelift Only),"129792, 129791, 108805, 58987"
Range Rover, Velar, D180 - D300 Diesels & P300 - P380 Petrol ,"126261, 126526, 127995, 141973, 126260, 141972, 126259"
Range Rover, Vogue, 3.0 V6 & 4.4 V8 Diesel 3.0 V6 & 5.0 V8 Super Chargered Petrol,
Renault, Clio, 182 2.0 16v,22674
Renault, Clio, 197 2.0 16v,22674
Renault, Clio, 200 (inc. Cup),
Renault, Mégane, Renaultsport 225 2.0T,18081
Renault, Mégane, Renaultsport 230 Renault F1 Team R26 / R26R,
Renault, Mégane, Renaultsport 250 and 265 (including Cup),
Renault, Mégane, Renaultsport 280 (Non-OPF/GPF Models Only),130043
Renault, Mégane, Renaultsport RS300 Trophy (OPF/GPF Equipped Models),135059
Scion, FR-S, 2.0-litre,
Seat, Ateca, Cupra 300 4Drive (GPF/OPF Models Only),"119702, 127905, 119701, 119697, 134232"
Seat, Cupra Formentor, 2.0TFSI 4Drive 310PS,
Seat, Ibiza, 1.9 TDi 130PS and 160PS,16526
Seat, Ibiza, Cupra / Bocanegra 1.4 TSI 180PS,31603
Seat, Ibiza, Cupra 1.8 20VT 180PS,
Seat, Ibiza, Cupra 1.8TFSI (6P),117382
Seat, Ibiza, FR 1.8 20VT (Formula Racing),13199
Seat, Leon, 1.8T Sport and Cupra 180PS,
Seat, Leon, 2.0 TDI 140PS,18770
Seat, Leon, Cupra 1.9 TDi 90PS / 110PS / 150PS,"28172, 13162, 15725"
Seat, Leon, Cupra 2.0T FSI 240PS,
Seat, Leon, Cupra 280 & 290 2.0 TSI (Non OPF/GPF Models),"118002, 108637, 118001, 100791, 118000, 100787"
Seat, Leon, Cupra 290 3 & 5 Door Hatch (GPF/OPF Equipped Models Only),"118002, 118001, 118000"
Seat, Leon, Cupra 300 2.0 TSI (Non-OPF/GPF Models),"125720, 125719, 125718, 125703, "
Seat, Leon, Cupra K1,
Seat, Leon, Cupra R 2.0 TSI 265PS,"108636, 100790, 100788, 31587"
Seat, Leon, Cupra R 210-225PS,17297
Seat, Leon, Cupra R 310PS,129205
Seat, Leon, FR 1.4 TSI SC and 5-door,"106389, 106388, 59599, 59598"
Seat, Leon, FR 1.5 eTSI Mk4 Hatch (OPF/GPF Equipped),"140121, 140109"
Seat, Leon, FR 1.8 TSI 180PS SC and 5-door,59601
Seat, Leon, FR 2.0 T FSI 200-211PS,"20048, 31586"
Seat, Leon, FR 2.0 TDI 150 SC and 5-door (manual and DSG-auto),59610
Seat, Leon, FR 2.0 TDi 170PS DPF,19499
Seat, Leon, FR 2.0 TDI 184PS SC and 5-door (manual and DSG-auto),59611
Seat, Leon, ST Cupra 280 & 290 2.0 TSI (280 & 290PS - Non-OPF/GPF Models),
